Ranks,Name,Industry,Revenue,Profit,Employees,Headquarters[note 1],State-owned,Ref.
USD (in millions),,,,,,,,
1,Walmart,Retail,"$680,985","$19,436",2100000.0,United States,,[1]
2,Amazon,Retailinformation technology,"$637,959","$59,248",1556000.0,,[4],
3,State Grid Corporation of China,Electricity,"$545,948","$9,204",1361423.0,China,,[5]
4,Saudi Aramco,Oil and gas,"$480,446","$106,246",73311.0,Saudi Arabia,,[6]
5,China Petrochemical Corporation,"$429,700","$9,393","513,434",,,[7],
6,China National Petroleum Corporation,"$476,000","$25,250","1,026,301",,[8],,
7,UnitedHealth Group,Healthcare,"$400,278","$14,405",400000.0,United States,,[9]
8,Apple,Information technology,"$391,035","$93,736",164000.0,,[10],
9,Berkshire Hathaway,Financials,"$371,433","$88,995",392400.0,,[11],
10,CVS Health,Healthcare,"$357,776","$8,344",259500.0,,[12],
11,Alphabet,Information technology,"$350,018","$100,118",183323.0,,[13],
12,Volkswagen Group,Automotive,"$348,408","$17,945",684025.0,Germany,,[14]
13,ExxonMobil,Oil and gas,"$344,582","$36,010",61500.0,United States,,[15]
14,Vitol,Commodities,"$331,000","$13,000",1560.0,Switzerland,,[16][17]
15,Shell,Oil and gas,"$323,183","$19,359",103000.0,United Kingdom,,[18]
16,China State Construction Engineering,Construction,"$320,431","$4,272",382894.0,China,,[19]
17,Toyota,Automotive,"$312,018","$34,214",380793.0,Japan,,[20]
18,McKesson,Healthcare,"$308,951","$3,002",48000.0,United States,,[21]
19,Cencora,Healthcare,"$262,173","$1,745",44000.0,,[22],
20,Microsoft,Information technology,"$245,122","$88,136",228000.0,,[23],
21,Trafigura,Commodities,"$244,280","$7,393",12479.0,Singapore,,[24]
22,Costco,Retail,"$242,290","$6,292",316000.0,United States,,[25]
23,JPMorgan Chase,Financials,"$239,425","$49,552",309926.0,,[26],
24,Industrial and Commercial Bank of China,"$222,484","$51,417","419,252",,,[27],
25,TotalEnergies,Oil and gas,"$218,945","$21,384",102579.0,France,,[28]
26,Glencore,Commodities,"$217,829","$4,280",83426.0,Switzerland,,[29]
27,BP,Oil and gas,"$213,032","$15,239",79400.0,United Kingdom,,[30]
28,Cardinal Health,Healthcare,"$205,012",$261,47520.0,United States,,[31]
29,Stellantis,Automotive,"$204,908","$20,103",258275.0,Netherlands,,[32]
30,Chevron,Oil and gas,"$200,949","$21,369",45600.0,United States,,[33]
31,China Construction Bank,Financials,"$199,826","$46,990",376871.0,China,,[34]
32,Samsung Electronics,Electronics,"$198,257","$11,082",267860.0,South Korea,,[35]
33,Foxconn,"$197,876","$4,563","621,393",,,[36],
34,Cigna,Healthcare,"$195,265","$5,164",71413.0,United States,,[37]
35,Agricultural Bank of China,Financials,"$192,398","$38,049",451003.0,China,,[38]
36,Schwarz Gruppe,Retail,"$180,576","$16,988",595000.0,Germany,,[39]
37,China Railway Engineering Corporation,Construction,"$178,563","$2,152",314149.0,China,,[40]
38,Cargill,Conglomerate,"$177,000","$17,641",160000.0,United States,,[41]
39,Ford Motor Company,Automotive,"$176,191","$4,347",177000.0,,[42],
40,Bank of China,Financials,"$172,328","$32,758",306931.0,China,,[43]
41,Bank of America,"$171,912","$26,515","212,985",,,[44],
42,General Motors,Automotive,"$171,842","$10,127",163000.0,,[45],
43,Elevance Health,Healthcare,"$171,340","$5,987",104900.0,,[46],
44,BMW Group,Automotive,"$168,103","$12,205",154950.0,Germany,,[47]
45,Mercedes-Benz Group,Automotive,"$165,638","$15,417",166056.0,Germany,,[48]
46,China Railway Construction Corporation,Construction,"$160,847","$1,701",336433.0,China,,[49]
47,Baowu,Steel,"$157,216","$2,494",258697.0,,[50],
48,Citigroup,Financials,"$156,820","$9,228",237925.0,United States,,[51]
49,Enel,Energy,"$147,100","$3,400",61060.0,Italy,,[52]
